"TIME","METROREG","UNIT","Value","Flag and Footnotes"
"2015","Varna","Million euro","3,079.68",""
"2016","Varna","Million euro","3,153.63",""
"2017","Varna","Million euro","3,390.3",""
"2018","Varna","Million euro",":",""
"2000","Burgas","Million euro","945.21",""
"2001","Burgas","Million euro","793.91",""
"2002","Burgas","Million euro","852.03",""
"2003","Burgas","Million euro","964.39",""
"2004","Burgas","Million euro","1,099.1",""
"2005","Burgas","Million euro","1,379.99",""
"2006","Burgas","Million euro","1,517.08",""
"2007","Burgas","Million euro","1,705.52",""
"2008","Burgas","Million euro","1,946.75",""
"2009","Burgas","Million euro","1,901.66",""
"2010","Burgas","Million euro","1,917.24",""
"2011","Burgas","Million euro","2,068.94",""
"2012","Burgas","Million euro","2,072.02",""
"2013","Burgas","Million euro","2,096.43",""
"2014","Burgas","Million euro","1,938.01",""
"2015","Burgas","Million euro","2,224.66",""
"2016","Burgas","Million euro","2,446.02",""
"2017","Burgas","Million euro","2,635.48",""
"2018","Burgas","Million euro",":",""
"2000","Non-metropolitan regions in Bulgaria","Million euro","7,154.24",""
"2001","Non-metropolitan regions in Bulgaria","Million euro","7,829.13",""
"2002","Non-metropolitan regions in Bulgaria","Million euro","8,356.59",""
"2003","Non-metropolitan regions in Bulgaria","Million euro","8,844.83",""
"2004","Non-metropolitan regions in Bulgaria","Million euro","9,661.53",""
"2005","Non-metropolitan regions in Bulgaria","Million euro","10,650.9",""
"2006","Non-metropolitan regions in Bulgaria","Million euro","11,365.74",""
"2007","Non-metropolitan regions in Bulgaria","Million euro","12,828.74",""
"2008","Non-metropolitan regions in Bulgaria","Million euro","14,482.44",""
"2009","Non-metropolitan regions in Bulgaria","Million euro","14,126.77",""
"2010","Non-metropolitan regions in Bulgaria","Million euro","14,111.11",""
"2011","Non-metropolitan regions in Bulgaria","Million euro","15,114.36",""
"2012","Non-metropolitan regions in Bulgaria","Million euro","15,688.06",""
"2013","Non-metropolitan regions in Bulgaria","Million euro","15,597.8",""
"2014","Non-metropolitan regions in Bulgaria","Million euro","16,229.08",""
"2015","Non-metropolitan regions in Bulgaria","Million euro","16,609.93",""
"2016","Non-metropolitan regions in Bulgaria","Million euro","17,600.66",""
"2017","Non-metropolitan regions in Bulgaria","Million euro","18,881.66",""
"2018","Non-metropolitan regions in Bulgaria","Million euro",":",""
"2000","Czechia","Million euro","66,838.76",""
"2001","Czechia","Million euro","75,387.72",""
"2002","Czechia","Million euro","87,055.06",""
"2003","Czechia","Million euro","88,249.14",""
"2004","Czechia","Million euro","96,028.47",""
"2005","Czechia","Million euro","109,627.66",""
"2006","Czechia","Million euro","123,943.19",""
"2007","Czechia","Million euro","138,302.85",""
"2008","Czechia","Million euro","161,313.12",""
"2009","Czechia","Million euro","148,682.01",""
"2010","Czechia","Million euro","156,718.24",""
