"TIME","METROREG","UNIT","Value","Flag and Footnotes"
"2012","Firenze","Million euro","35,080.31",""
"2013","Firenze","Million euro","34,865.41",""
"2014","Firenze","Million euro","35,887.06",""
"2015","Firenze","Million euro","36,296.91",""
"2016","Firenze","Million euro","37,217.59",""
"2017","Firenze","Million euro","37,743.27",""
"2018","Firenze","Million euro",":",""
"2000","Bari","Million euro","20,614.06",""
"2001","Bari","Million euro","21,725.76",""
"2002","Bari","Million euro","21,910.4",""
"2003","Bari","Million euro","22,113.59",""
"2004","Bari","Million euro","22,524.2",""
"2005","Bari","Million euro","22,774.15",""
"2006","Bari","Million euro","24,057.85",""
"2007","Bari","Million euro","24,992.58",""
"2008","Bari","Million euro","25,229.6",""
"2009","Bari","Million euro","24,417.66",""
"2010","Bari","Million euro","24,919.5",""
"2011","Bari","Million euro","25,385.42",""
"2012","Bari","Million euro","25,455.3",""
"2013","Bari","Million euro","24,863.46",""
"2014","Bari","Million euro","24,780.39",""
"2015","Bari","Million euro","25,648.15",""
"2016","Bari","Million euro","26,325.42",""
"2017","Bari","Million euro","26,604.71",""
"2018","Bari","Million euro",":",""
"2000","Bologna","Million euro","27,624.84",""
"2001","Bologna","Million euro","28,218.18",""
"2002","Bologna","Million euro","29,058.36",""
"2003","Bologna","Million euro","29,729.42",""
"2004","Bologna","Million euro","30,726.97",""
"2005","Bologna","Million euro","31,640.17",""
"2006","Bologna","Million euro","33,612.8",""
"2007","Bologna","Million euro","34,414.4",""
"2008","Bologna","Million euro","34,461.34",""
"2009","Bologna","Million euro","33,261.5",""
"2010","Bologna","Million euro","35,496.53",""
"2011","Bologna","Million euro","37,298.11",""
"2012","Bologna","Million euro","36,534.43",""
"2013","Bologna","Million euro","36,979.02",""
"2014","Bologna","Million euro","37,689.2",""
"2015","Bologna","Million euro","38,592.42",""
"2016","Bologna","Million euro","39,479",""
"2017","Bologna","Million euro","40,779.49",""
"2018","Bologna","Million euro",":",""
"2000","Catania","Million euro","15,632.19",""
"2001","Catania","Million euro","16,287.11",""
"2002","Catania","Million euro","16,843.58",""
"2003","Catania","Million euro","17,568.9",""
"2004","Catania","Million euro","17,901.32",""
"2005","Catania","Million euro","18,814.89",""
"2006","Catania","Million euro","19,271.51",""
"2007","Catania","Million euro","19,704.23",""
"2008","Catania","Million euro","20,447.44",""
"2009","Catania","Million euro","19,776.72",""
"2010","Catania","Million euro","19,697.12",""
"2011","Catania","Million euro","19,630.87",""
"2012","Catania","Million euro","19,572.66",""
"2013","Catania","Million euro","19,398.71",""
"2014","Catania","Million euro","19,593.14",""
"2015","Catania","Million euro","19,399.94",""
"2016","Catania","Million euro","19,726.7",""
"2017","Catania","Million euro","20,096.39",""
"2018","Catania","Million euro",":",""
"2000","Venezia","Million euro","19,126.87",""
"2001","Venezia","Million euro","19,741.73",""
"2002","Venezia","Million euro","20,090.28",""
"2003","Venezia","Million euro","21,196.27",""
"2004","Venezia","Million euro","22,215.51",""
"2005","Venezia","Million euro","22,817.1",""
"2006","Venezia","Million euro","24,284.75",""
"2007","Venezia","Million euro","25,003.72",""
"2008","Venezia","Million euro","24,418.22",""
"2009","Venezia","Million euro","24,142.31",""
"2010","Venezia","Million euro","24,548.64",""
"2011","Venezia","Million euro","25,191.69",""
"2012","Venezia","Million euro","24,462.42",""
"2013","Venezia","Million euro","24,522.02",""
"2014","Venezia","Million euro","24,834.01",""
"2015","Venezia","Million euro","25,408.75",""
"2016","Venezia","Million euro","26,055.84",""
"2017","Venezia","Million euro","26,644.95",""
"2018","Venezia","Million euro",":",""
"2000","Verona","Million euro","20,822.76",""
"2001","Verona","Million euro","21,594.63",""
"2002","Verona","Million euro","21,746.9",""
"2003","Verona","Million euro","22,811.56",""
"2004","Verona","Million euro","24,132.26",""
"2005","Verona","Million euro","24,783.3",""
"2006","Verona","Million euro","26,221.28",""
"2007","Verona","Million euro","27,416.87",""
"2008","Verona","Million euro","27,521.85",""
"2009","Verona","Million euro","28,462.74",""
"2010","Verona","Million euro","27,994.91",""
"2011","Verona","Million euro","28,281.95",""
"2012","Verona","Million euro","28,341.15",""
"2013","Verona","Million euro","28,448.36",""
"2014","Verona","Million euro","28,589.72",""
"2015","Verona","Million euro","29,258.21",""
"2016","Verona","Million euro","30,388.93",""
"2017","Verona","Million euro","31,417.11",""
"2018","Verona","Million euro",":",""
"2000","Taranto","Million euro","8,151.12",""
"2001","Taranto","Million euro","8,222.38",""
"2002","Taranto","Million euro","8,430.77",""
"2003","Taranto","Million euro","8,916.79",""
"2004","Taranto","Million euro","9,439.4",""
"2005","Taranto","Million euro","9,721.29",""
"2006","Taranto","Million euro","9,941.23",""
"2007","Taranto","Million euro","10,152.76",""
"2008","Taranto","Million euro","10,278.26",""
"2009","Taranto","Million euro","9,814.54",""
"2010","Taranto","Million euro","10,125.37",""
"2011","Taranto","Million euro","10,564.73",""
"2012","Taranto","Million euro","10,507.93",""
"2013","Taranto","Million euro","9,797.63",""
"2014","Taranto","Million euro","10,188.7",""
"2015","Taranto","Million euro","9,859.72",""
"2016","Taranto","Million euro","10,372.94",""
"2017","Taranto","Million euro","10,612.16",""
"2018","Taranto","Million euro",":",""
"2000","Cagliari","Million euro","9,674.25",""
"2001","Cagliari","Million euro","10,158.93",""
"2002","Cagliari","Million euro","10,229.38",""
"2003","Cagliari","Million euro","10,836.01",""
"2004","Cagliari","Million euro","11,474.86",""
"2005","Cagliari","Million euro","11,543.59",""
"2006","Cagliari","Million euro","11,916.26",""
"2007","Cagliari","Million euro","12,332.77",""
"2008","Cagliari","Million euro","13,922.45",""
"2009","Cagliari","Million euro","13,349.75",""
"2010","Cagliari","Million euro","13,138.42",""
"2011","Cagliari","Million euro","13,091.52",""
"2012","Cagliari","Million euro","13,265.2",""
"2013","Cagliari","Million euro","12,835.66",""
"2014","Cagliari","Million euro","12,739.48",""
"2015","Cagliari","Million euro","13,669.36",""
"2016","Cagliari","Million euro","13,690.85",""
"2017","Cagliari","Million euro","13,811.7",""
"2018","Cagliari","Million euro",":",""
"2000","Padova","Million euro","21,414.69",""
"2001","Padova","Million euro","22,053.05",""
"2002","Padova","Million euro","22,523.8",""
"2003","Padova","Million euro","23,936.29",""
"2004","Padova","Million euro","25,484.94",""
"2005","Padova","Million euro","26,096.18",""
"2006","Padova","Million euro","26,620.17",""
"2007","Padova","Million euro","27,681.87",""
"2008","Padova","Million euro","27,727.83",""
"2009","Padova","Million euro","26,198.82",""
"2010","Padova","Million euro","27,766.69",""
"2011","Padova","Million euro","29,298.35",""
"2012","Padova","Million euro","28,881.04",""
"2013","Padova","Million euro","28,554.14",""
"2014","Padova","Million euro","29,064.67",""
"2015","Padova","Million euro","29,571.36",""
"2016","Padova","Million euro","30,660.51",""
"2017","Padova","Million euro","31,503.61",""
"2018","Padova","Million euro",":",""
"2000","Brescia","Million euro","29,869.81",""
"2001","Brescia","Million euro","32,124.56",""
"2002","Brescia","Million euro","33,603.4",""
"2003","Brescia","Million euro","34,713.14",""
"2004","Brescia","Million euro","36,120.3",""
"2005","Brescia","Million euro","36,281.4",""
"2006","Brescia","Million euro","37,839.21",""
"2007","Brescia","Million euro","39,766.69",""
"2008","Brescia","Million euro","39,911.77",""
"2009","Brescia","Million euro","36,604.03",""
"2010","Brescia","Million euro","37,333.55",""
"2011","Brescia","Million euro","39,066.35",""
"2012","Brescia","Million euro","38,319.43",""
"2013","Brescia","Million euro","38,004.22",""
"2014","Brescia","Million euro","38,665.15",""
"2015","Brescia","Million euro","39,418.85",""
"2016","Brescia","Million euro","40,806.86",""
"2017","Brescia","Million euro","42,151.67",""
"2018","Brescia","Million euro",":",""
"2000","Messina","Million euro","9,788.64",""
"2001","Messina","Million euro","10,531.49",""
"2002","Messina","Million euro","10,617.72",""
"2003","Messina","Million euro","10,753.42",""
"2004","Messina","Million euro","10,896.61",""
"2005","Messina","Million euro","11,525.28",""
"2006","Messina","Million euro","11,751.52",""
"2007","Messina","Million euro","12,092.5",""
"2008","Messina","Million euro","11,612.68",""
"2009","Messina","Million euro","11,185",""
"2010","Messina","Million euro","10,997.47",""
"2011","Messina","Million euro","11,582.91",""
"2012","Messina","Million euro","11,455.02",""
"2013","Messina","Million euro","11,289.04",""
"2014","Messina","Million euro","11,309.39",""
"2015","Messina","Million euro","11,068.26",""
"2016","Messina","Million euro","11,215.53",""
"2017","Messina","Million euro","11,386.04",""
"2018","Messina","Million euro",":",""
"2000","Prato","Million euro","6,024.67",""
"2001","Prato","Million euro","6,459.79",""
"2002","Prato","Million euro","6,646.25",""
"2003","Prato","Million euro","6,797.91",""
"2004","Prato","Million euro","6,983.76",""
"2005","Prato","Million euro","7,115.4",""
"2006","Prato","Million euro","7,390.07",""
"2007","Prato","Million euro","7,836.73",""
"2008","Prato","Million euro","7,497.23",""
"2009","Prato","Million euro","7,287.34",""
"2010","Prato","Million euro","6,999.37",""
"2011","Prato","Million euro","7,214.28",""
"2012","Prato","Million euro","7,078.41",""
"2013","Prato","Million euro","7,212.14",""
"2014","Prato","Million euro","7,231.04",""
"2015","Prato","Million euro","7,463.87",""
"2016","Prato","Million euro","7,796.08",""
"2017","Prato","Million euro","8,123.41",""
"2018","Prato","Million euro",":",""
"2000","Parma","Million euro","11,037.57",""
"2001","Parma","Million euro","11,709.84",""
"2002","Parma","Million euro","12,096.32",""
"2003","Parma","Million euro","12,502.59",""
"2004","Parma","Million euro","13,071.72",""
"2005","Parma","Million euro","13,228.84",""
"2006","Parma","Million euro","13,726.44",""
"2007","Parma","Million euro","14,433.59",""
"2008","Parma","Million euro","14,613.55",""
"2009","Parma","Million euro","14,400.81",""
"2010","Parma","Million euro","15,050.92",""
"2011","Parma","Million euro","15,204.13",""
"2012","Parma","Million euro","15,287.51",""
"2013","Parma","Million euro","15,230.38",""
"2014","Parma","Million euro","15,555.18",""
"2015","Parma","Million euro","15,854.62",""
"2016","Parma","Million euro","16,281.08",""
"2017","Parma","Million euro","16,770.44",""
"2018","Parma","Million euro",":",""
"2000","Reggio nell Emilia","Million euro","12,925.19",""
"2001","Reggio nell Emilia","Million euro","13,603.45",""
"2002","Reggio nell Emilia","Million euro","13,954.38",""
"2003","Reggio nell Emilia","Million euro","14,241.59",""
"2004","Reggio nell Emilia","Million euro","14,816.99",""
"2005","Reggio nell Emilia","Million euro","15,767.38",""
"2006","Reggio nell Emilia","Million euro","16,553.27",""
"2007","Reggio nell Emilia","Million euro","17,301.1",""
"2008","Reggio nell Emilia","Million euro","18,054.42",""
"2009","Reggio nell Emilia","Million euro","16,685.2",""
"2010","Reggio nell Emilia","Million euro","16,606.92",""
"2011","Reggio nell Emilia","Million euro","17,231.13",""
"2012","Reggio nell Emilia","Million euro","16,792.88",""
"2013","Reggio nell Emilia","Million euro","16,956",""
"2014","Reggio nell Emilia","Million euro","17,181.75",""
"2015","Reggio nell Emilia","Million euro","17,815.39",""
"2016","Reggio nell Emilia","Million euro","18,383.92",""
"2017","Reggio nell Emilia","Million euro","19,024.3",""
"2018","Reggio nell Emilia","Million euro",":",""
"2000","Bergamo","Million euro","26,104.28",""
"2001","Bergamo","Million euro","27,579.13",""
"2002","Bergamo","Million euro","28,921.7",""
"2003","Bergamo","Million euro","30,021.63",""
"2004","Bergamo","Million euro","31,229.85",""
"2005","Bergamo","Million euro","32,475.92",""
"2006","Bergamo","Million euro","34,388.82",""
"2007","Bergamo","Million euro","35,355.53",""
"2008","Bergamo","Million euro","34,500.37",""
"2009","Bergamo","Million euro","34,016.39",""
"2010","Bergamo","Million euro","33,856.94",""
"2011","Bergamo","Million euro","34,566.24",""
"2012","Bergamo","Million euro","33,754.76",""
"2013","Bergamo","Million euro","33,368.79",""
"2014","Bergamo","Million euro","33,863.97",""
"2015","Bergamo","Million euro","34,364.39",""
"2016","Bergamo","Million euro","35,417.28",""
"2017","Bergamo","Million euro","36,378.11",""
"2018","Bergamo","Million euro",":",""
"2000","Non-metropolitan regions in Italy","Million euro","593,958.59",""
"2001","Non-metropolitan regions in Italy","Million euro","621,734.15",""
"2002","Non-metropolitan regions in Italy","Million euro","644,808.33",""
"2003","Non-metropolitan regions in Italy","Million euro","666,950.95",""
"2004","Non-metropolitan regions in Italy","Million euro","693,607.22",""
"2005","Non-metropolitan regions in Italy","Million euro","711,411.9",""
"2006","Non-metropolitan regions in Italy","Million euro","741,742.52",""
"2007","Non-metropolitan regions in Italy","Million euro","773,165.05",""
"2008","Non-metropolitan regions in Italy","Million euro","769,814.72",""
"2009","Non-metropolitan regions in Italy","Million euro","736,775.46",""
"2010","Non-metropolitan regions in Italy","Million euro","751,261.13",""
"2011","Non-metropolitan regions in Italy","Million euro","770,118.5",""
"2012","Non-metropolitan regions in Italy","Million euro","761,288.11",""
"2013","Non-metropolitan regions in Italy","Million euro","757,000.07",""
"2014","Non-metropolitan regions in Italy","Million euro","761,092.02",""
"2015","Non-metropolitan regions in Italy","Million euro","774,252.02",""
"2016","Non-metropolitan regions in Italy","Million euro","785,270.84",""
"2017","Non-metropolitan regions in Italy","Million euro","804,842.66",""
"2018","Non-metropolitan regions in Italy","Million euro",":",""
"2000","Cyprus","Million euro","10,804.58",""
"2001","Cyprus","Million euro","11,602.93",""
"2002","Cyprus","Million euro","12,082.95",""
"2003","Cyprus","Million euro","12,871.33",""
"2004","Cyprus","Million euro","13,937.98",""
"2005","Cyprus","Million euro","15,039.29",""
"2006","Cyprus","Million euro","16,263.84",""
"2007","Cyprus","Million euro","17,591.05",""
"2008","Cyprus","Million euro","19,009.58",""
"2009","Cyprus","Million euro","18,675.49",""
"2010","Cyprus","Million euro","19,409.97",""
"2011","Cyprus","Million euro","19,803.03",""
"2012","Cyprus","Million euro","19,440.78",""
"2013","Cyprus","Million euro","17,994.97",""
"2014","Cyprus","Million euro","17,408.53",""
"2015","Cyprus","Million euro","17,826.95",""
"2016","Cyprus","Million euro","18,872.87",""
"2017","Cyprus","Million euro","20,039.7",""
"2018","Cyprus","Million euro","21,137.81","p"
"2000","Lefkosia","Million euro","10,804.58",""
"2001","Lefkosia","Million euro","11,602.93",""
"2002","Lefkosia","Million euro","12,082.95",""
"2003","Lefkosia","Million euro","12,871.33",""
"2004","Lefkosia","Million euro","13,937.98",""
"2005","Lefkosia","Million euro","15,039.29",""
"2006","Lefkosia","Million euro","16,263.84",""
"2007","Lefkosia","Million euro","17,591.05",""
"2008","Lefkosia","Million euro","19,009.58",""
"2009","Lefkosia","Million euro","18,675.49",""
"2010","Lefkosia","Million euro","19,409.97",""
"2011","Lefkosia","Million euro","19,803.03",""
"2012","Lefkosia","Million euro","19,440.78",""
"2013","Lefkosia","Million euro","17,994.97",""
"2014","Lefkosia","Million euro","17,408.53",""
"2015","Lefkosia","Million euro","17,826.95",""
"2016","Lefkosia","Million euro","18,872.87",""
"2017","Lefkosia","Million euro","20,039.7",""
"2018","Lefkosia","Million euro","21,138","p"
"2000","Latvia","Million euro","8,605.6",""
"2001","Latvia","Million euro","9,343.45",""
"2002","Latvia","Million euro","10,139.9",""
"2003","Latvia","Million euro","10,463.68",""
"2004","Latvia","Million euro","11,658.74",""
"2005","Latvia","Million euro","13,715.56",""
"2006","Latvia","Million euro","17,255.86",""
"2007","Latvia","Million euro","22,676.76",""
"2008","Latvia","Million euro","24,397.25",""
"2009","Latvia","Million euro","18,807.4",""
"2010","Latvia","Million euro","17,817.66",""
"2011","Latvia","Million euro","20,218.73",""
"2012","Latvia","Million euro","22,098.22",""
"2013","Latvia","Million euro","22,845.4",""
"2014","Latvia","Million euro","23,654.17",""
"2015","Latvia","Million euro","24,425.96",""
"2016","Latvia","Million euro","25,072.64",""
"2017","Latvia","Million euro","26,797.83",""
"2018","Latvia","Million euro","29,151.03",""
"2000","Riga","Million euro","5,653.04",""
"2001","Riga","Million euro","6,168.42",""
"2002","Riga","Million euro","6,677.59",""
"2003","Riga","Million euro","6,897.42",""
"2004","Riga","Million euro","7,685.02",""
"2005","Riga","Million euro","9,112.35",""
"2006","Riga","Million euro","11,860.6",""
"2007","Riga","Million euro","15,250.9",""
"2008","Riga","Million euro","16,382.59",""
"2009","Riga","Million euro","12,398.99",""
"2010","Riga","Million euro","11,872.12",""
"2011","Riga","Million euro","13,272.25",""
"2012","Riga","Million euro","14,748.44",""
"2013","Riga","Million euro","15,679.96",""
"2014","Riga","Million euro","16,175.83",""
"2015","Riga","Million euro","16,859.81",""
"2016","Riga","Million euro","17,384.89",""
"2017","Riga","Million euro","18,655.46",""
"2018","Riga","Million euro",":",""
"2000","Non-metropolitan regions in Latvia","Million euro","2,946.14",""
"2001","Non-metropolitan regions in Latvia","Million euro","3,165.11",""
"2002","Non-metropolitan regions in Latvia","Million euro","3,456.65",""
"2003","Non-metropolitan regions in Latvia","Million euro","3,560.56",""
"2004","Non-metropolitan regions in Latvia","Million euro","3,970.63",""
"2005","Non-metropolitan regions in Latvia","Million euro","4,589.72",""
"2006","Non-metropolitan regions in Latvia","Million euro","5,379.23",""
"2007","Non-metropolitan regions in Latvia","Million euro","7,401.07",""
"2008","Non-metropolitan regions in Latvia","Million euro","7,969.12",""
"2009","Non-metropolitan regions in Latvia","Million euro","6,372.36",""
"2010","Non-metropolitan regions in Latvia","Million euro","5,916.88",""
"2011","Non-metropolitan regions in Latvia","Million euro","6,916.44",""
"2012","Non-metropolitan regions in Latvia","Million euro","7,316.87",""
"2013","Non-metropolitan regions in Latvia","Million euro","7,137.53",""
"2014","Non-metropolitan regions in Latvia","Million euro","7,443.63",""
"2015","Non-metropolitan regions in Latvia","Million euro","7,529.68",""
"2016","Non-metropolitan regions in Latvia","Million euro","7,653.1",""
"2017","Non-metropolitan regions in Latvia","Million euro","8,105.57",""
"2018","Non-metropolitan regions in Latvia","Million euro",":",""
"2000","Lithuania","Million euro","12,491.31",""
"2001","Lithuania","Million euro","13,681.43",""
"2002","Lithuania","Million euro","15,173.03",""
"2003","Lithuania","Million euro","16,668.72",""
"2004","Lithuania","Million euro","18,237.4",""
"2005","Lithuania","Million euro","21,002.35",""
"2006","Lithuania","Million euro","24,079.18",""
"2007","Lithuania","Million euro","29,040.66",""
"2008","Lithuania","Million euro","32,696.28",""
"2009","Lithuania","Million euro","26,934.82",""
"2010","Lithuania","Million euro","27,955.33","b"
"2011","Lithuania","Million euro","31,233.73",""
"2012","Lithuania","Million euro","33,331.66",""
"2013","Lithuania","Million euro","34,984.99",""
"2014","Lithuania","Million euro","36,544.76",""
"2015","Lithuania","Million euro","37,321.83",""
"2016","Lithuania","Million euro","38,893.37",""
"2017","Lithuania","Million euro","42,269.37",""
"2018","Lithuania","Million euro","45,264.38",""
"2000","Vilnius","Million euro","4,211.82",""
"2001","Vilnius","Million euro","4,688.47",""
"2002","Vilnius","Million euro","5,450.17",""
"2003","Vilnius","Million euro","6,007.37",""
"2004","Vilnius","Million euro","6,602.21",""
"2005","Vilnius","Million euro","7,736.41",""
"2006","Vilnius","Million euro","9,238.49",""
"2007","Vilnius","Million euro","11,439.41",""
"2008","Vilnius","Million euro","12,587.69",""
"2009","Vilnius","Million euro","10,362.53",""
"2010","Vilnius","Million euro","10,773","b"
"2011","Vilnius","Million euro","11,883.45",""
"2012","Vilnius","Million euro","12,877.03",""
"2013","Vilnius","Million euro","13,826.26",""
"2014","Vilnius","Million euro","14,627.99",""
"2015","Vilnius","Million euro","15,085.96",""
"2016","Vilnius","Million euro","15,833.49",""
"2017","Vilnius","Million euro","17,195.53",""
"2018","Vilnius","Million euro",":",""
"2000","Kaunas","Million euro","2,312.82",""
"2001","Kaunas","Million euro","2,662.11",""
"2002","Kaunas","Million euro","2,862.3",""
"2003","Kaunas","Million euro","3,196.46",""
"2004","Kaunas","Million euro","3,470.94",""
"2005","Kaunas","Million euro","4,052.38",""
"2006","Kaunas","Million euro","4,624.12",""
"2007","Kaunas","Million euro","5,592.53",""
"2008","Kaunas","Million euro","6,318.07",""
"2009","Kaunas","Million euro","5,133.6",""
"2010","Kaunas","Million euro","5,375","b"
"2011","Kaunas","Million euro","6,123.12",""
"2012","Kaunas","Million euro","6,545.09",""
"2013","Kaunas","Million euro","6,868.18",""
"2014","Kaunas","Million euro","7,220.76",""
"2015","Kaunas","Million euro","7,420.81",""
"2016","Kaunas","Million euro","7,889.35",""
"2017","Kaunas","Million euro","8,626.42",""
"2018","Kaunas","Million euro",":",""
"2000","Non-metropolitan regions in Lithuania","Million euro","5,966.78",""
"2001","Non-metropolitan regions in Lithuania","Million euro","6,330.95",""
"2002","Non-metropolitan regions in Lithuania","Million euro","6,860.67",""
"2003","Non-metropolitan regions in Lithuania","Million euro","7,464.9",""
"2004","Non-metropolitan regions in Lithuania","Million euro","8,164.36",""
"2005","Non-metropolitan regions in Lithuania","Million euro","9,213.45",""
"2006","Non-metropolitan regions in Lithuania","Million euro","10,216.46",""
"2007","Non-metropolitan regions in Lithuania","Million euro","12,008.73",""
"2008","Non-metropolitan regions in Lithuania","Million euro","13,790.42",""
"2009","Non-metropolitan regions in Lithuania","Million euro","11,438.58",""
"2010","Non-metropolitan regions in Lithuania","Million euro","11,808","b"
"2011","Non-metropolitan regions in Lithuania","Million euro","13,227.16",""
"2012","Non-metropolitan regions in Lithuania","Million euro","13,909.76",""
"2013","Non-metropolitan regions in Lithuania","Million euro","14,290.56",""
"2014","Non-metropolitan regions in Lithuania","Million euro","14,695.79",""
"2015","Non-metropolitan regions in Lithuania","Million euro","14,814.96",""
"2016","Non-metropolitan regions in Lithuania","Million euro","15,170.53",""
"2017","Non-metropolitan regions in Lithuania","Million euro","16,447.41",""
"2018","Non-metropolitan regions in Lithuania","Million euro",":",""
"2000","Luxembourg","Million euro","23,079.42",""
"2001","Luxembourg","Million euro","23,771.93",""
"2002","Luxembourg","Million euro","25,094.71",""
"2003","Luxembourg","Million euro","26,187.79",""
"2004","Luxembourg","Million euro","27,935.53",""
"2005","Luxembourg","Million euro","30,031.04",""
"2006","Luxembourg","Million euro","33,808.45",""
"2007","Luxembourg","Million euro","37,178.87",""
"2008","Luxembourg","Million euro","38,128.58",""
"2009","Luxembourg","Million euro","36,976.52",""
"2010","Luxembourg","Million euro","40,177.81",""
"2011","Luxembourg","Million euro","43,164.65",""
"2012","Luxembourg","Million euro","44,112.1",""
"2013","Luxembourg","Million euro","46,499.56",""
"2014","Luxembourg","Million euro","49,824.51",""
"2015","Luxembourg","Million euro","52,065.81",""
"2016","Luxembourg","Million euro","54,867.23",""
"2017","Luxembourg","Million euro","56,814.21",""
"2018","Luxembourg","Million euro","60,053.08",""
"2000","Luxembourg","Million euro","23,079.42",""
"2001","Luxembourg","Million euro","23,771.93",""
"2002","Luxembourg","Million euro","25,094.71",""
"2003","Luxembourg","Million euro","26,187.79",""
"2004","Luxembourg","Million euro","27,935.53",""
"2005","Luxembourg","Million euro","30,031.04",""
"2006","Luxembourg","Million euro","33,808.45",""
"2007","Luxembourg","Million euro","37,178.87",""
"2008","Luxembourg","Million euro","38,128.58",""
"2009","Luxembourg","Million euro","36,976.52",""
"2010","Luxembourg","Million euro","40,177.81",""
"2011","Luxembourg","Million euro","43,164.65",""
"2012","Luxembourg","Million euro","44,112.1",""
"2013","Luxembourg","Million euro","46,499.56",""
"2014","Luxembourg","Million euro","49,824.51",""
"2015","Luxembourg","Million euro","52,065.81",""
"2016","Luxembourg","Million euro","54,867.23",""
"2017","Luxembourg","Million euro","56,814.21",""
"2018","Luxembourg","Million euro","60,053.08",""
"2000","Hungary","Million euro","51,238.47",""
"2001","Hungary","Million euro","60,012.86",""
"2002","Hungary","Million euro","71,756.09",""
"2003","Hungary","Million euro","75,442.83",""
"2004","Hungary","Million euro","83,753.7",""
"2005","Hungary","Million euro","90,905.14",""
"2006","Hungary","Million euro","92,016.57",""
"2007","Hungary","Million euro","102,253.31",""
"2008","Hungary","Million euro","108,215.84",""
"2009","Hungary","Million euro","94,382.56",""
"2010","Hungary","Million euro","98,986.77",""
"2011","Hungary","Million euro","101,552.73",""
"2012","Hungary","Million euro","99,733.55",""
"2013","Hungary","Million euro","102,032.29",""
"2014","Hungary","Million euro","105,905.89",""
"2015","Hungary","Million euro","112,210.34",""
"2016","Hungary","Million euro","115,259.21",""
"2017","Hungary","Million euro","125,603.1",""
"2018","Hungary","Million euro","133,782.2",""
"2000","Budapest","Million euro","21,923.78",""
"2001","Budapest","Million euro","25,940.57",""
"2002","Budapest","Million euro","32,009.45",""
"2003","Budapest","Million euro","33,219.98",""
"2004","Budapest","Million euro","37,386.91",""
"2005","Budapest","Million euro","41,638.55",""
"2006","Budapest","Million euro","42,781.05",""
"2007","Budapest","Million euro","48,420.96",""
"2008","Budapest","Million euro","51,662.53",""
"2009","Budapest","Million euro","46,475.78",""
"2010","Budapest","Million euro","48,117.56",""
"2011","Budapest","Million euro","49,015.12",""
"2012","Budapest","Million euro","48,059.89",""
"2013","Budapest","Million euro","48,506.61",""
"2014","Budapest","Million euro","50,104.44",""
"2015","Budapest","Million euro","51,773.2",""
"2016","Budapest","Million euro","53,277.72",""
"2017","Budapest","Million euro","58,342.78",""
"2018","Budapest","Million euro","62,575.23",""
"2000","Miskolc","Million euro","2,381.95",""
"2001","Miskolc","Million euro","2,805.22",""
"2002","Miskolc","Million euro","3,281.6",""
"2003","Miskolc","Million euro","3,456.91",""
"2004","Miskolc","Million euro","3,952.11",""
"2005","Miskolc","Million euro","4,453.88",""
"2006","Miskolc","Million euro","4,335.75",""
"2007","Miskolc","Million euro","4,692.46",""
"2008","Miskolc","Million euro","4,710.57",""
"2009","Miskolc","Million euro","3,904.89",""
"2010","Miskolc","Million euro","4,091.4",""
"2011","Miskolc","Million euro","4,205.68",""
"2012","Miskolc","Million euro","4,186.18",""
"2013","Miskolc","Million euro","4,382.83",""
"2014","Miskolc","Million euro","4,683.13",""
"2015","Miskolc","Million euro","5,393.13",""
"2016","Miskolc","Million euro","5,425.21",""
"2017","Miskolc","Million euro","6,245.91",""
"2018","Miskolc","Million euro","6,502.03",""
"2000","Pécs","Million euro","1,505.33",""
"2001","Pécs","Million euro","1,753.11",""
"2002","Pécs","Million euro","2,122.27",""
"2003","Pécs","Million euro","2,226.77",""
"2004","Pécs","Million euro","2,419.54",""
"2005","Pécs","Million euro","2,527.53",""
"2006","Pécs","Million euro","2,536.23",""
"2007","Pécs","Million euro","2,818.88",""
"2008","Pécs","Million euro","2,944.62",""
"2009","Pécs","Million euro","2,531.54",""
"2010","Pécs","Million euro","2,588.67",""
"2011","Pécs","Million euro","2,551.38",""
"2012","Pécs","Million euro","2,520.04",""
"2013","Pécs","Million euro","2,521.17",""
"2014","Pécs","Million euro","2,576.09",""
"2015","Pécs","Million euro","2,708.56",""
"2016","Pécs","Million euro","2,800.36",""
"2017","Pécs","Million euro","3,082.53",""
"2018","Pécs","Million euro","3,337.94",""
"2000","Debrecen","Million euro","2,124.31",""
"2001","Debrecen","Million euro","2,611.75",""
"2002","Debrecen","Million euro","3,043.29",""
"2003","Debrecen","Million euro","3,293.92",""
"2004","Debrecen","Million euro","3,607.5",""
"2005","Debrecen","Million euro","3,804.35",""
"2006","Debrecen","Million euro","3,727.28",""
"2007","Debrecen","Million euro","3,970.74",""
"2008","Debrecen","Million euro","4,211.48",""
"2009","Debrecen","Million euro","3,736.24",""
"2010","Debrecen","Million euro","3,997.81",""
"2011","Debrecen","Million euro","4,124.85",""
"2012","Debrecen","Million euro","4,077.71",""
"2013","Debrecen","Million euro","3,997.25",""
"2014","Debrecen","Million euro","4,163.94",""
"2015","Debrecen","Million euro","4,350.71",""
"2016","Debrecen","Million euro","4,320.42",""
"2017","Debrecen","Million euro","4,882.29",""
"2018","Debrecen","Million euro","5,201.26",""
"2000","Székesfehérvár","Million euro","2,485.09",""
"2001","Székesfehérvár","Million euro","2,573.32",""
"2002","Székesfehérvár","Million euro","2,830.14",""
