"TIME","METROREG","AGE","SEX","Value","Flag and Footnotes"
"2014","Offenburg","Total","Total","412,678",""
"2015","Offenburg","Total","Total","415,639",""
"2016","Offenburg","Total","Total","420,106",""
"2017","Offenburg","Total","Total","423,359",""
"2018","Offenburg","Total","Total","425,932",""
"2019","Offenburg","Total","Total","429,479",""
"1999","Görlitz","Total","Total",":",""
"2000","Görlitz","Total","Total",":",""
"2001","Görlitz","Total","Total",":",""
"2002","Görlitz","Total","Total",":",""
"2003","Görlitz","Total","Total",":",""
"2004","Görlitz","Total","Total",":",""
"2005","Görlitz","Total","Total",":",""
"2006","Görlitz","Total","Total",":",""
"2007","Görlitz","Total","Total",":",""
"2008","Görlitz","Total","Total",":",""
"2009","Görlitz","Total","Total",":",""
"2010","Görlitz","Total","Total",":",""
"2011","Görlitz","Total","Total","271,210","b"
"2012","Görlitz","Total","Total","267,815",""
"2013","Görlitz","Total","Total","264,673",""
"2014","Görlitz","Total","Total","262,168",""
"2015","Görlitz","Total","Total","260,188",""
"2016","Görlitz","Total","Total","260,000",""
"2017","Görlitz","Total","Total","258,337",""
"2018","Görlitz","Total","Total","256,587",""
"2019","Görlitz","Total","Total","254,894",""
"1999","Schweinfurt","Total","Total",":",""
"2000","Schweinfurt","Total","Total","280,214",""
"2001","Schweinfurt","Total","Total","280,222",""
"2002","Schweinfurt","Total","Total","280,940",""
"2003","Schweinfurt","Total","Total","280,920",""
"2004","Schweinfurt","Total","Total","280,180",""
"2005","Schweinfurt","Total","Total","279,454",""
"2006","Schweinfurt","Total","Total","278,185",""
"2007","Schweinfurt","Total","Total","276,410",""
"2008","Schweinfurt","Total","Total","275,083",""
"2009","Schweinfurt","Total","Total","273,397",""
"2010","Schweinfurt","Total","Total","271,890",""
"2011","Schweinfurt","Total","Total","269,585","b"
"2012","Schweinfurt","Total","Total","268,762",""
"2013","Schweinfurt","Total","Total","268,079",""
"2014","Schweinfurt","Total","Total","267,723",""
"2015","Schweinfurt","Total","Total","268,258",""
"2016","Schweinfurt","Total","Total","269,888",""
"2017","Schweinfurt","Total","Total","270,647",""
"2018","Schweinfurt","Total","Total","271,807",""
"2019","Schweinfurt","Total","Total","272,356",""
"1999","Wetzlar","Total","Total",":",""
"2000","Wetzlar","Total","Total","262,951",""
"2001","Wetzlar","Total","Total","262,859",""
"2002","Wetzlar","Total","Total","263,043",""
"2003","Wetzlar","Total","Total","262,852",""
"2004","Wetzlar","Total","Total","262,227",""
"2005","Wetzlar","Total","Total","261,406",""
"2006","Wetzlar","Total","Total","260,512",""
"2007","Wetzlar","Total","Total","259,359",""
"2008","Wetzlar","Total","Total","258,063",""
"2009","Wetzlar","Total","Total","256,582",""
"2010","Wetzlar","Total","Total","254,878",""
"2011","Wetzlar","Total","Total","253,968","b"
"2012","Wetzlar","Total","Total","252,899",""
"2013","Wetzlar","Total","Total","252,106",""
"2014","Wetzlar","Total","Total","251,327",""
"2015","Wetzlar","Total","Total","251,440",""
"2016","Wetzlar","Total","Total","253,167",""
"2017","Wetzlar","Total","Total","254,074",""
"2018","Wetzlar","Total","Total","254,164",""
"2019","Wetzlar","Total","Total","253,777",""
"1999","Braunschweig-Salzgitter-Wolfsburg","Total","Total",":",""
"2000","Braunschweig-Salzgitter-Wolfsburg","Total","Total","1,008,765",""
"2001","Braunschweig-Salzgitter-Wolfsburg","Total","Total","1,010,397",""
"2002","Braunschweig-Salzgitter-Wolfsburg","Total","Total","1,011,346",""
"2003","Braunschweig-Salzgitter-Wolfsburg","Total","Total","1,012,436",""
"2004","Braunschweig-Salzgitter-Wolfsburg","Total","Total","1,012,659",""
"2005","Braunschweig-Salzgitter-Wolfsburg","Total","Total","1,012,071",""
"2006","Braunschweig-Salzgitter-Wolfsburg","Total","Total","1,008,286",""
"2007","Braunschweig-Salzgitter-Wolfsburg","Total","Total","1,004,161",""
"2008","Braunschweig-Salzgitter-Wolfsburg","Total","Total","999,623",""
"2009","Braunschweig-Salzgitter-Wolfsburg","Total","Total","995,884",""
"2010","Braunschweig-Salzgitter-Wolfsburg","Total","Total","993,953",""
"2011","Braunschweig-Salzgitter-Wolfsburg","Total","Total","975,857","b"
"2012","Braunschweig-Salzgitter-Wolfsburg","Total","Total","975,680",""
"2013","Braunschweig-Salzgitter-Wolfsburg","Total","Total","977,221",""
"2014","Braunschweig-Salzgitter-Wolfsburg","Total","Total","979,826",""
"2015","Braunschweig-Salzgitter-Wolfsburg","Total","Total","984,580",""
"2016","Braunschweig-Salzgitter-Wolfsburg","Total","Total","995,494",""
"2017","Braunschweig-Salzgitter-Wolfsburg","Total","Total","996,955",""
"2018","Braunschweig-Salzgitter-Wolfsburg","Total","Total","997,089",""
"2019","Braunschweig-Salzgitter-Wolfsburg","Total","Total","998,543",""
"1999","Mannheim-Ludwigshafen","Total","Total",":",""
"2000","Mannheim-Ludwigshafen","Total","Total","1,166,060",""
"2001","Mannheim-Ludwigshafen","Total","Total","1,164,949",""
"2002","Mannheim-Ludwigshafen","Total","Total","1,168,842",""
"2003","Mannheim-Ludwigshafen","Total","Total","1,171,219",""
"2004","Mannheim-Ludwigshafen","Total","Total","1,171,879",""
"2005","Mannheim-Ludwigshafen","Total","Total","1,172,734",""
"2006","Mannheim-Ludwigshafen","Total","Total","1,172,927",""
"2007","Mannheim-Ludwigshafen","Total","Total","1,171,366",""
"2008","Mannheim-Ludwigshafen","Total","Total","1,172,941",""
"2009","Mannheim-Ludwigshafen","Total","Total","1,171,470",""
"2010","Mannheim-Ludwigshafen","Total","Total","1,170,100",""
"2011","Mannheim-Ludwigshafen","Total","Total","1,134,248","b"
"2012","Mannheim-Ludwigshafen","Total","Total","1,138,165",""
"2013","Mannheim-Ludwigshafen","Total","Total","1,144,574",""
"2014","Mannheim-Ludwigshafen","Total","Total","1,150,111",""
"2015","Mannheim-Ludwigshafen","Total","Total","1,159,222",""
"2016","Mannheim-Ludwigshafen","Total","Total","1,172,821",""
"2017","Mannheim-Ludwigshafen","Total","Total","1,177,545",""
"2018","Mannheim-Ludwigshafen","Total","Total","1,184,343",""
"2019","Mannheim-Ludwigshafen","Total","Total","1,189,073",""
"1999","Münster","Total","Total",":",""
"2000","Münster","Total","Total","477,450",""
"2001","Münster","Total","Total","480,502",""
"2002","Münster","Total","Total","484,002",""
"2003","Münster","Total","Total","487,518",""
"2004","Münster","Total","Total","489,494",""
"2005","Münster","Total","Total","491,022",""
"2006","Münster","Total","Total","491,869",""
"2007","Münster","Total","Total","493,600",""
"2008","Münster","Total","Total","494,332",""
"2009","Münster","Total","Total","494,537",""
"2010","Münster","Total","Total","495,804",""
"2011","Münster","Total","Total","497,384","b"
"2012","Münster","Total","Total","508,424",""
"2013","Münster","Total","Total","511,686",""
"2014","Münster","Total","Total","514,990",""
"2015","Münster","Total","Total","518,174",""
"2016","Münster","Total","Total","528,440",""
"2017","Münster","Total","Total","530,865",""
"2018","Münster","Total","Total","532,919",""
"2019","Münster","Total","Total","534,248",""
"1999","Aachen","Total","Total",":",""
"2000","Aachen","Total","Total",":",""
"2001","Aachen","Total","Total",":",""
"2002","Aachen","Total","Total",":",""
"2003","Aachen","Total","Total",":",""
"2004","Aachen","Total","Total",":",""
"2005","Aachen","Total","Total",":",""
"2006","Aachen","Total","Total",":",""
"2007","Aachen","Total","Total",":",""
"2008","Aachen","Total","Total",":",""
"2009","Aachen","Total","Total",":",""
"2010","Aachen","Total","Total",":",""
"2011","Aachen","Total","Total","540,342","b"
"2012","Aachen","Total","Total","541,521",""
"2013","Aachen","Total","Total","542,833",""
"2014","Aachen","Total","Total","545,067",""
"2015","Aachen","Total","Total","547,661",""
"2016","Aachen","Total","Total","553,922",""
"2017","Aachen","Total","Total","552,472",""
"2018","Aachen","Total","Total","554,068",""
"2019","Aachen","Total","Total","555,465",""
"1999","Lübeck","Total","Total",":",""
"2000","Lübeck","Total","Total","414,726",""
"2001","Lübeck","Total","Total","415,646",""
"2002","Lübeck","Total","Total","416,882",""
"2003","Lübeck","Total","Total","417,799",""
"2004","Lübeck","Total","Total","417,894",""
"2005","Lübeck","Total","Total","417,463",""
"2006","Lübeck","Total","Total","417,865",""
"2007","Lübeck","Total","Total","417,165",""
"2008","Lübeck","Total","Total","417,229",""
"2009","Lübeck","Total","Total","416,083",""
"2010","Lübeck","Total","Total","414,766",""
"2011","Lübeck","Total","Total","408,971","b"
"2012","Lübeck","Total","Total","408,639",""
"2013","Lübeck","Total","Total","409,595",""
"2014","Lübeck","Total","Total","410,793",""
"2015","Lübeck","Total","Total","412,775",""
"2016","Lübeck","Total","Total","415,827",""
"2017","Lübeck","Total","Total","417,525",""
"2018","Lübeck","Total","Total","416,902",""
"2019","Lübeck","Total","Total","417,779",""
"1999","Kassel","Total","Total",":",""
"2000","Kassel","Total","Total","441,802",""
"2001","Kassel","Total","Total","440,763",""
"2002","Kassel","Total","Total","440,483",""
"2003","Kassel","Total","Total","439,983",""
"2004","Kassel","Total","Total","439,690",""
"2005","Kassel","Total","Total","439,309",""
"2006","Kassel","Total","Total","438,218",""
"2007","Kassel","Total","Total","435,635",""
"2008","Kassel","Total","Total","434,531",""
"2009","Kassel","Total","Total","433,404",""
"2010","Kassel","Total","Total","432,747",""
"2011","Kassel","Total","Total","426,174","b"
"2012","Kassel","Total","Total","426,534",""
"2013","Kassel","Total","Total","427,080",""
"2014","Kassel","Total","Total","427,439",""
"2015","Kassel","Total","Total","428,198",""
"2016","Kassel","Total","Total","433,797",""
"2017","Kassel","Total","Total","435,967",""
"2018","Kassel","Total","Total","437,410",""
"2019","Kassel","Total","Total","438,218",""
"1999","Osnabrück","Total","Total",":",""
"2000","Osnabrück","Total","Total","517,577",""
"2001","Osnabrück","Total","Total","517,414",""
"2002","Osnabrück","Total","Total","520,066",""
"2003","Osnabrück","Total","Total","521,434",""
"2004","Osnabrück","Total","Total","523,558",""
"2005","Osnabrück","Total","Total","523,888",""
"2006","Osnabrück","Total","Total","523,263",""
"2007","Osnabrück","Total","Total","522,360",""
"2008","Osnabrück","Total","Total","521,722",""
"2009","Osnabrück","Total","Total","521,522",""
"2010","Osnabrück","Total","Total","520,570",""
"2011","Osnabrück","Total","Total","504,272","b"
"2012","Osnabrück","Total","Total","504,931",""
"2013","Osnabrück","Total","Total","506,069",""
"2014","Osnabrück","Total","Total","506,617",""
"2015","Osnabrück","Total","Total","508,213",""
"2016","Osnabrück","Total","Total","520,482",""
"2017","Osnabrück","Total","Total","518,877",""
"2018","Osnabrück","Total","Total","520,514",""
"2019","Osnabrück","Total","Total","522,091",""
"1999","Oldenburg (Oldenburg)","Total","Total",":",""
"2000","Oldenburg (Oldenburg)","Total","Total","382,885",""
"2001","Oldenburg (Oldenburg)","Total","Total","386,499",""
"2002","Oldenburg (Oldenburg)","Total","Total","390,452",""
"2003","Oldenburg (Oldenburg)","Total","Total","394,305",""
"2004","Oldenburg (Oldenburg)","Total","Total","397,428",""
"2005","Oldenburg (Oldenburg)","Total","Total","398,745",""
"2006","Oldenburg (Oldenburg)","Total","Total","400,187",""
"2007","Oldenburg (Oldenburg)","Total","Total","401,635",""
"2008","Oldenburg (Oldenburg)","Total","Total","402,735",""
"2009","Oldenburg (Oldenburg)","Total","Total","403,324",""
"2010","Oldenburg (Oldenburg)","Total","Total","405,422",""
"2011","Oldenburg (Oldenburg)","Total","Total","399,345","b"
"2012","Oldenburg (Oldenburg)","Total","Total","400,922",""
"2013","Oldenburg (Oldenburg)","Total","Total","402,560",""
"2014","Oldenburg (Oldenburg)","Total","Total","404,253",""
"2015","Oldenburg (Oldenburg)","Total","Total","407,622",""
"2016","Oldenburg (Oldenburg)","Total","Total","413,873",""
"2017","Oldenburg (Oldenburg)","Total","Total","417,893",""
"2018","Oldenburg (Oldenburg)","Total","Total","420,382",""
"2019","Oldenburg (Oldenburg)","Total","Total","422,425",""
"1999","Heidelberg","Total","Total",":",""
"2000","Heidelberg","Total","Total","661,626",""
"2001","Heidelberg","Total","Total","664,287",""
"2002","Heidelberg","Total","Total","669,305",""
"2003","Heidelberg","Total","Total","673,183",""
"2004","Heidelberg","Total","Total","674,608",""
"2005","Heidelberg","Total","Total","675,911",""
"2006","Heidelberg","Total","Total","676,986",""
"2007","Heidelberg","Total","Total","678,854",""
"2008","Heidelberg","Total","Total","680,300",""
"2009","Heidelberg","Total","Total","680,926",""
"2010","Heidelberg","Total","Total","682,747",""
"2011","Heidelberg","Total","Total","669,903","b"
"2012","Heidelberg","Total","Total","673,619",""
"2013","Heidelberg","Total","Total","677,622",""
"2014","Heidelberg","Total","Total","683,126",""
"2015","Heidelberg","Total","Total","689,444",""
"2016","Heidelberg","Total","Total","698,126",""
"2017","Heidelberg","Total","Total","704,314",""
"2018","Heidelberg","Total","Total","707,346",""
"2019","Heidelberg","Total","Total","707,980",""
"1999","Paderborn","Total","Total",":",""
"2000","Paderborn","Total","Total","288,110",""
"2001","Paderborn","Total","Total","290,301",""
"2002","Paderborn","Total","Total","292,961",""
"2003","Paderborn","Total","Total","294,911",""
"2004","Paderborn","Total","Total","295,700",""
"2005","Paderborn","Total","Total","297,674",""
"2006","Paderborn","Total","Total","298,703",""
"2007","Paderborn","Total","Total","299,127",""
"2008","Paderborn","Total","Total","298,838",""
"2009","Paderborn","Total","Total","298,869",""
"2010","Paderborn","Total","Total","299,106",""
"2011","Paderborn","Total","Total","294,447","b"
"2012","Paderborn","Total","Total","295,614",""
"2013","Paderborn","Total","Total","296,135",""
"2014","Paderborn","Total","Total","296,688",""
"2015","Paderborn","Total","Total","299,071",""
"2016","Paderborn","Total","Total","304,332",""
"2017","Paderborn","Total","Total","305,198",""
"2018","Paderborn","Total","Total","305,362",""
"2019","Paderborn","Total","Total","306,890",""
"1999","Würzburg","Total","Total",":",""
"2000","Würzburg","Total","Total","506,749",""
"2001","Würzburg","Total","Total","507,883",""
"2002","Würzburg","Total","Total","510,536",""
"2003","Würzburg","Total","Total","513,155",""
"2004","Würzburg","Total","Total","514,111",""
"2005","Würzburg","Total","Total","514,914",""
"2006","Würzburg","Total","Total","514,603",""
"2007","Würzburg","Total","Total","515,191",""
"2008","Würzburg","Total","Total","515,414",""
"2009","Würzburg","Total","Total","512,189",""
"2010","Würzburg","Total","Total","510,487",""
"2011","Würzburg","Total","Total","498,053","b"
"2012","Würzburg","Total","Total","497,462",""
"2013","Würzburg","Total","Total","496,998",""
"2014","Würzburg","Total","Total","497,670",""
"2015","Würzburg","Total","Total","497,879",""
"2016","Würzburg","Total","Total","500,729",""
"2017","Würzburg","Total","Total","503,100",""
"2018","Würzburg","Total","Total","504,927",""
"2019","Würzburg","Total","Total","506,988",""
"1999","Bremerhaven","Total","Total",":",""
"2000","Bremerhaven","Total","Total","326,568",""
"2001","Bremerhaven","Total","Total","325,665",""
"2002","Bremerhaven","Total","Total","324,893",""
"2003","Bremerhaven","Total","Total","325,415",""
"2004","Bremerhaven","Total","Total","324,821",""
"2005","Bremerhaven","Total","Total","323,589",""
"2006","Bremerhaven","Total","Total","321,891",""
"2007","Bremerhaven","Total","Total","320,280",""
"2008","Bremerhaven","Total","Total","318,246",""
"2009","Bremerhaven","Total","Total","316,630",""
"2010","Bremerhaven","Total","Total","315,219",""
"2011","Bremerhaven","Total","Total","307,715","b"
"2012","Bremerhaven","Total","Total","306,254",""
"2013","Bremerhaven","Total","Total","305,756",""
"2014","Bremerhaven","Total","Total","305,451",""
"2015","Bremerhaven","Total","Total","306,908",""
"2016","Bremerhaven","Total","Total","312,128",""
"2017","Bremerhaven","Total","Total","311,704",""
"2018","Bremerhaven","Total","Total","311,126",""
"2019","Bremerhaven","Total","Total","311,847",""
"1999","Heilbronn","Total","Total",":",""
"2000","Heilbronn","Total","Total","437,104",""
"2001","Heilbronn","Total","Total","440,260",""
"2002","Heilbronn","Total","Total","444,206",""
"2003","Heilbronn","Total","Total","446,912",""
"2004","Heilbronn","Total","Total","448,245",""
"2005","Heilbronn","Total","Total","450,186",""
"2006","Heilbronn","Total","Total","451,116",""
"2007","Heilbronn","Total","Total","451,363",""
"2008","Heilbronn","Total","Total","451,929",""
"2009","Heilbronn","Total","Total","451,841",""
"2010","Heilbronn","Total","Total","451,469",""
"2011","Heilbronn","Total","Total","438,185","b"
"2012","Heilbronn","Total","Total","439,884",""
"2013","Heilbronn","Total","Total","442,074",""
"2014","Heilbronn","Total","Total","444,157",""
"2015","Heilbronn","Total","Total","449,091",""
"2016","Heilbronn","Total","Total","456,955",""
"2017","Heilbronn","Total","Total","461,342",""
"2018","Heilbronn","Total","Total","465,885",""
"2019","Heilbronn","Total","Total","469,028",""
"1999","Ulm","Total","Total",":",""
"2000","Ulm","Total","Total","459,829",""
"2001","Ulm","Total","Total","462,832",""
"2002","Ulm","Total","Total","466,457",""
"2003","Ulm","Total","Total","469,515",""
"2004","Ulm","Total","Total","471,990",""
"2005","Ulm","Total","Total","473,328",""
"2006","Ulm","Total","Total","474,245",""
"2007","Ulm","Total","Total","474,609",""
"2008","Ulm","Total","Total","475,781",""
"2009","Ulm","Total","Total","476,822",""
"2010","Ulm","Total","Total","477,172",""
"2011","Ulm","Total","Total","466,630","b"
"2012","Ulm","Total","Total","468,373",""
"2013","Ulm","Total","Total","470,370",""
"2014","Ulm","Total","Total","473,753",""
"2015","Ulm","Total","Total","477,690",""
"2016","Ulm","Total","Total","485,049",""
"2017","Ulm","Total","Total","488,282",""
"2018","Ulm","Total","Total","492,771",""
"2019","Ulm","Total","Total","496,576",""
"1999","Pforzheim","Total","Total",":",""
"2000","Pforzheim","Total","Total","308,817",""
"2001","Pforzheim","Total","Total","310,008",""
"2002","Pforzheim","Total","Total","311,875",""
"2003","Pforzheim","Total","Total","313,624",""
"2004","Pforzheim","Total","Total","314,425",""
"2005","Pforzheim","Total","Total","314,930",""
"2006","Pforzheim","Total","Total","315,438",""
"2007","Pforzheim","Total","Total","315,315",""
"2008","Pforzheim","Total","Total","314,880",""
"2009","Pforzheim","Total","Total","315,154",""
"2010","Pforzheim","Total","Total","314,342",""
"2011","Pforzheim","Total","Total","305,731","b"
"2012","Pforzheim","Total","Total","306,672",""
"2013","Pforzheim","Total","Total","308,517",""
"2014","Pforzheim","Total","Total","310,565",""
"2015","Pforzheim","Total","Total","313,019",""
"2016","Pforzheim","Total","Total","318,313",""
"2017","Pforzheim","Total","Total","320,739",""
"2018","Pforzheim","Total","Total","322,658",""
"2019","Pforzheim","Total","Total","324,447",""
"1999","Ingolstadt","Total","Total",":",""
"2000","Ingolstadt","Total","Total","432,259",""
"2001","Ingolstadt","Total","Total","436,167",""
"2002","Ingolstadt","Total","Total","441,677",""
"2003","Ingolstadt","Total","Total","445,573",""
"2004","Ingolstadt","Total","Total","448,073",""
"2005","Ingolstadt","Total","Total","449,974",""
"2006","Ingolstadt","Total","Total","451,537",""
"2007","Ingolstadt","Total","Total","452,871",""
"2008","Ingolstadt","Total","Total","454,948",""
"2009","Ingolstadt","Total","Total","456,651",""
"2010","Ingolstadt","Total","Total","457,335",""
"2011","Ingolstadt","Total","Total","454,308","b"
"2012","Ingolstadt","Total","Total","457,983",""
"2013","Ingolstadt","Total","Total","463,057",""
"2014","Ingolstadt","Total","Total","467,681",""
"2015","Ingolstadt","Total","Total","473,290",""
"2016","Ingolstadt","Total","Total","480,025",""
"2017","Ingolstadt","Total","Total","485,291",""
"2018","Ingolstadt","Total","Total","489,298",""
"2019","Ingolstadt","Total","Total","493,153",""
"1999","Reutlingen","Total","Total",":",""
"2000","Reutlingen","Total","Total","276,671",""
"2001","Reutlingen","Total","Total","277,995",""
"2002","Reutlingen","Total","Total","279,177",""
"2003","Reutlingen","Total","Total","280,613",""
"2004","Reutlingen","Total","Total","281,690",""
"2005","Reutlingen","Total","Total","281,779",""
"2006","Reutlingen","Total","Total","282,049",""
"2007","Reutlingen","Total","Total","281,891",""
"2008","Reutlingen","Total","Total","281,580",""
"2009","Reutlingen","Total","Total","281,080",""
"2010","Reutlingen","Total","Total","280,927",""
"2011","Reutlingen","Total","Total","273,352","b"
"2012","Reutlingen","Total","Total","273,646",""
"2013","Reutlingen","Total","Total","274,691",""
"2014","Reutlingen","Total","Total","276,019",""
"2015","Reutlingen","Total","Total","278,031",""
"2016","Reutlingen","Total","Total","282,113",""
"2017","Reutlingen","Total","Total","284,082",""
"2018","Reutlingen","Total","Total","285,754",""
"2019","Reutlingen","Total","Total","286,748",""
"1999","Siegen","Total","Total",":",""
"2000","Siegen","Total","Total","434,663",""
"2001","Siegen","Total","Total","433,479",""
"2002","Siegen","Total","Total","433,446",""
"2003","Siegen","Total","Total","432,815",""
"2004","Siegen","Total","Total","431,705",""
"2005","Siegen","Total","Total","429,761",""
"2006","Siegen","Total","Total","427,797",""
"2007","Siegen","Total","Total","425,578",""
"2008","Siegen","Total","Total","423,353",""
"2009","Siegen","Total","Total","420,084",""
"2010","Siegen","Total","Total","417,278",""
"2011","Siegen","Total","Total","408,374","b"
"2012","Siegen","Total","Total","406,189",""
"2013","Siegen","Total","Total","404,760",""
"2014","Siegen","Total","Total","403,277",""
"2015","Siegen","Total","Total","404,137",""
"2016","Siegen","Total","Total","409,971",""
"2017","Siegen","Total","Total","406,894",""
"2018","Siegen","Total","Total","406,768",""
"2019","Siegen","Total","Total","406,915",""
"1999","Hildesheim","Total","Total",":",""
"2000","Hildesheim","Total","Total","292,466",""
"2001","Hildesheim","Total","Total","292,979",""
"2002","Hildesheim","Total","Total","293,091",""
"2003","Hildesheim","Total","Total","292,908",""
"2004","Hildesheim","Total","Total","292,358",""
"2005","Hildesheim","Total","Total","291,620",""
"2006","Hildesheim","Total","Total","290,643",""
"2007","Hildesheim","Total","Total","289,984",""
"2008","Hildesheim","Total","Total","288,623",""
"2009","Hildesheim","Total","Total","286,663",""
"2010","Hildesheim","Total","Total","284,551",""
"2011","Hildesheim","Total","Total","278,227","b"
"2012","Hildesheim","Total","Total","276,383",""
"2013","Hildesheim","Total","Total","275,330",""
"2014","Hildesheim","Total","Total","274,519",""
"2015","Hildesheim","Total","Total","274,554",""
"2016","Hildesheim","Total","Total","277,055",""
"2017","Hildesheim","Total","Total","277,300",""
"2018","Hildesheim","Total","Total","276,640",""
"2019","Hildesheim","Total","Total","276,594",""
"1999","Zwickau","Total","Total",":",""
"2000","Zwickau","Total","Total",":",""
"2001","Zwickau","Total","Total",":",""
"2002","Zwickau","Total","Total",":",""
"2003","Zwickau","Total","Total",":",""
"2004","Zwickau","Total","Total",":",""
"2005","Zwickau","Total","Total",":",""
"2006","Zwickau","Total","Total",":",""
"2007","Zwickau","Total","Total",":",""
"2008","Zwickau","Total","Total",":",""
"2009","Zwickau","Total","Total",":",""
"2010","Zwickau","Total","Total",":",""
"2011","Zwickau","Total","Total","336,881","b"
"2012","Zwickau","Total","Total","333,291",""
"2013","Zwickau","Total","Total","330,294",""
"2014","Zwickau","Total","Total","327,062",""
"2015","Zwickau","Total","Total","325,137",""
"2016","Zwickau","Total","Total","324,534",""
"2017","Zwickau","Total","Total","322,099",""
"2018","Zwickau","Total","Total","319,988",""
"2019","Zwickau","Total","Total","317,531",""
"1999","Wuppertal","Total","Total",":",""
"2000","Wuppertal","Total","Total","368,993",""
"2001","Wuppertal","Total","Total","366,434",""
"2002","Wuppertal","Total","Total","364,784",""
"2003","Wuppertal","Total","Total","363,522",""
"2004","Wuppertal","Total","Total","362,137",""
"2005","Wuppertal","Total","Total","361,077",""
"2006","Wuppertal","Total","Total","359,237",""
"2007","Wuppertal","Total","Total","358,330",""
"2008","Wuppertal","Total","Total","356,420",""
"2009","Wuppertal","Total","Total","353,308",""
"2010","Wuppertal","Total","Total","351,050",""
"2011","Wuppertal","Total","Total","342,771","b"
"2012","Wuppertal","Total","Total","342,570",""
"2013","Wuppertal","Total","Total","342,885",""
"2014","Wuppertal","Total","Total","343,488",""
"2015","Wuppertal","Total","Total","345,425",""
"2016","Wuppertal","Total","Total","350,046",""
"2017","Wuppertal","Total","Total","352,390",""
"2018","Wuppertal","Total","Total","353,590",""
"2019","Wuppertal","Total","Total","354,382",""
"1999","Düren","Total","Total",":",""
"2000","Düren","Total","Total","266,457",""
"2001","Düren","Total","Total","268,564",""
"2002","Düren","Total","Total","271,074",""
"2003","Düren","Total","Total","272,473",""
"2004","Düren","Total","Total","272,936",""
"2005","Düren","Total","Total","272,908",""
"2006","Düren","Total","Total","272,478",""
"2007","Düren","Total","Total","270,917",""
"2008","Düren","Total","Total","270,725",""
"2009","Düren","Total","Total","269,607",""
"2010","Düren","Total","Total","268,637",""
"2011","Düren","Total","Total","259,088","b"
"2012","Düren","Total","Total","258,524",""
"2013","Düren","Total","Total","258,651",""
"2014","Düren","Total","Total","258,385",""
"2015","Düren","Total","Total","259,073",""
"2016","Düren","Total","Total","262,828",""
"2017","Düren","Total","Total","262,072",""
"2018","Düren","Total","Total","262,889",""
"2019","Düren","Total","Total","263,722",""
"1999","Bocholt","Total","Total",":",""
"2000","Bocholt","Total","Total","356,706",""
"2001","Bocholt","Total","Total","359,573",""
"2002","Bocholt","Total","Total","362,834",""
"2003","Bocholt","Total","Total","364,865",""
"2004","Bocholt","Total","Total","366,679",""
"2005","Bocholt","Total","Total","367,457",""
"2006","Bocholt","Total","Total","369,112",""
"2007","Bocholt","Total","Total","369,500",""
"2008","Bocholt","Total","Total","370,196",""
"2009","Bocholt","Total","Total","370,323",""
"2010","Bocholt","Total","Total","369,666",""
"2011","Bocholt","Total","Total","364,502","b"
"2012","Bocholt","Total","Total","364,093",""
"2013","Bocholt","Total","Total","363,819",""
"2014","Bocholt","Total","Total","364,271",""
"2015","Bocholt","Total","Total","365,191",""
"2016","Bocholt","Total","Total","369,666",""
"2017","Bocholt","Total","Total","369,226",""
"2018","Bocholt","Total","Total","369,718",""
"2019","Bocholt","Total","Total","370,676",""
"1999","Non-metropolitan regions in Germany","Total","Total",":",""
"2000","Non-metropolitan regions in Germany","Total","Total",":",""
"2001","Non-metropolitan regions in Germany","Total","Total",":",""
"2002","Non-metropolitan regions in Germany","Total","Total",":",""
"2003","Non-metropolitan regions in Germany","Total","Total",":",""
"2004","Non-metropolitan regions in Germany","Total","Total",":",""
"2005","Non-metropolitan regions in Germany","Total","Total",":",""
"2006","Non-metropolitan regions in Germany","Total","Total",":",""
"2007","Non-metropolitan regions in Germany","Total","Total",":",""
"2008","Non-metropolitan regions in Germany","Total","Total",":",""
"2009","Non-metropolitan regions in Germany","Total","Total",":",""
"2010","Non-metropolitan regions in Germany","Total","Total",":",""
"2011","Non-metropolitan regions in Germany","Total","Total",":",""
"2012","Non-metropolitan regions in Germany","Total","Total",":",""
"2013","Non-metropolitan regions in Germany","Total","Total",":",""
"2014","Non-metropolitan regions in Germany","Total","Total","25,607,990",""
"2015","Non-metropolitan regions in Germany","Total","Total","25,660,925",""
"2016","Non-metropolitan regions in Germany","Total","Total","25,910,830",""
"2017","Non-metropolitan regions in Germany","Total","Total","25,926,271",""
"2018","Non-metropolitan regions in Germany","Total","Total","25,953,248",""
"2019","Non-metropolitan regions in Germany","Total","Total","25,972,206",""
"1999","Estonia","Total","Total","1,379,237",""
"2000","Estonia","Total","Total","1,401,250",""
"2001","Estonia","Total","Total","1,392,720",""
"2002","Estonia","Total","Total","1,383,510",""
"2003","Estonia","Total","Total","1,375,190",""
"2004","Estonia","Total","Total","1,366,250",""
"2005","Estonia","Total","Total","1,358,850",""
"2006","Estonia","Total","Total","1,350,700",""
"2007","Estonia","Total","Total","1,342,920",""
"2008","Estonia","Total","Total","1,338,440",""
"2009","Estonia","Total","Total","1,335,740",""
"2010","Estonia","Total","Total","1,333,290",""
"2011","Estonia","Total","Total","1,329,660",""
"2012","Estonia","Total","Total","1,325,217",""
"2013","Estonia","Total","Total","1,320,174",""
"2014","Estonia","Total","Total","1,315,819",""
