"TIME","METROREG","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2001","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","142.9",""
"2002","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","150.8",""
"2003","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","156.9",""
"2004","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","157.5",""
"2005","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","167.5",""
"2006","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","172.7",""
"2007","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","177.2",""
"2008","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","180.9",""
"2009","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","169.3",""
"2010","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","166.7",""
"2011","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","163.9",""
"2012","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","157.8",""
"2013","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","155.3",""
"2014","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","154.9",""
"2015","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","156.3",""
"2016","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","158.9",""
"2017","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities","160.5",""
"2018","Vitoria/Gasteiz","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","369.7",""
"2001","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","379.6",""
"2002","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","384",""
"2003","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","395.8",""
"2004","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","402.6",""
"2005","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","418.9",""
"2006","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","433.4",""
"2007","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","445.9",""
"2008","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","450.3",""
"2009","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","419.2",""
"2010","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","407.4",""
"2011","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","402.8",""
"2012","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","385",""
"2013","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","371.6",""
"2014","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","368.8",""
"2015","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","375",""
"2016","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","377.8",""
"2017","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities","385",""
"2018","Oviedo - Gijón","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","283.6",""
"2001","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","287.5",""
"2002","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","292.8",""
"2003","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","297.6",""
"2004","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","302.6",""
"2005","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","311.8",""
"2006","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","316.9",""
"2007","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","326.6",""
"2008","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","326.1",""
"2009","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","303.3",""
"2010","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","300.4",""
"2011","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","294.7",""
"2012","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","281.9",""
"2013","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","276.3",""
"2014","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","278.4",""
"2015","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","285.9",""
"2016","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","292.7",""
"2017","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities","299.6",""
"2018","Pamplona/Iruña","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Santander","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Santander","Thousand persons","Employed persons","Total - all NACE activities","206.8",""
"2001","Santander","Thousand persons","Employed persons","Total - all NACE activities","215.7",""
"2002","Santander","Thousand persons","Employed persons","Total - all NACE activities","222.1",""
"2003","Santander","Thousand persons","Employed persons","Total - all NACE activities","225.3",""
"2004","Santander","Thousand persons","Employed persons","Total - all NACE activities","231.5",""
"2005","Santander","Thousand persons","Employed persons","Total - all NACE activities","241.3",""
"2006","Santander","Thousand persons","Employed persons","Total - all NACE activities","246.8",""
"2007","Santander","Thousand persons","Employed persons","Total - all NACE activities","255.2",""
"2008","Santander","Thousand persons","Employed persons","Total - all NACE activities","256.9",""
"2009","Santander","Thousand persons","Employed persons","Total - all NACE activities","241.9",""
"2010","Santander","Thousand persons","Employed persons","Total - all NACE activities","232.6",""
"2011","Santander","Thousand persons","Employed persons","Total - all NACE activities","226.7",""
"2012","Santander","Thousand persons","Employed persons","Total - all NACE activities","217",""
"2013","Santander","Thousand persons","Employed persons","Total - all NACE activities","212.7",""
"2014","Santander","Thousand persons","Employed persons","Total - all NACE activities","212.3",""
"2015","Santander","Thousand persons","Employed persons","Total - all NACE activities","215.2",""
"2016","Santander","Thousand persons","Employed persons","Total - all NACE activities","218.6",""
"2017","Santander","Thousand persons","Employed persons","Total - all NACE activities","223.6",""
"2018","Santander","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Bilbao","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","478",""
"2001","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","482.1",""
"2002","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","494.7",""
"2003","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","513",""
"2004","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","517.7",""
"2005","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","529.2",""
"2006","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","538.5",""
"2007","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","549.6",""
"2008","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","565.5",""
"2009","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","534.1",""
"2010","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","531.8",""
"2011","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","514.5",""
"2012","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","502.1",""
"2013","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","486.9",""
"2014","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","488.6",""
"2015","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","502.8",""
"2016","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","511.1",""
"2017","Bilbao","Thousand persons","Employed persons","Total - all NACE activities","516.4",""
"2018","Bilbao","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Córdoba","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","228.3",""
"2001","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","235.2",""
"2002","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","238.9",""
"2003","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","254.9",""
"2004","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","270.3",""
"2005","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","280.6",""
"2006","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","296.3",""
"2007","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","307.6",""
"2008","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","305.5",""
"2009","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","284.9",""
"2010","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","276.7",""
"2011","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","268.5",""
"2012","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","252.3",""
"2013","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","247.1",""
"2014","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","249.6",""
"2015","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","259.9",""
"2016","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","269.8",""
"2017","Córdoba","Thousand persons","Employed persons","Total - all NACE activities","278",""
"2018","Córdoba","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","552.3",""
"2001","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","574.6",""
"2002","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","597.3",""
"2003","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","628.3",""
"2004","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","668.2",""
"2005","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","692.3",""
"2006","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","718",""
"2007","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","744.3",""
"2008","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","728.9",""
"2009","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","663.2",""
"2010","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","643.9",""
"2011","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","616.3",""
"2012","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","594.3",""
"2013","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","581",""
"2014","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","594.9",""
"2015","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","617.2",""
"2016","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","638.7",""
"2017","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities","654.4",""
"2018","Alicante/Alacant - Elche/Elx","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Vigo","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Vigo","Thousand persons","Employed persons","Total - all NACE activities","352.1",""
"2001","Vigo","Thousand persons","Employed persons","Total - all NACE activities","359.8",""
"2002","Vigo","Thousand persons","Employed persons","Total - all NACE activities","358.6",""
"2003","Vigo","Thousand persons","Employed persons","Total - all NACE activities","368.8",""
"2004","Vigo","Thousand persons","Employed persons","Total - all NACE activities","387.7",""
"2005","Vigo","Thousand persons","Employed persons","Total - all NACE activities","396.5",""
"2006","Vigo","Thousand persons","Employed persons","Total - all NACE activities","408.4",""
"2007","Vigo","Thousand persons","Employed persons","Total - all NACE activities","429.8",""
"2008","Vigo","Thousand persons","Employed persons","Total - all NACE activities","427.2",""
"2009","Vigo","Thousand persons","Employed persons","Total - all NACE activities","396.7",""
"2010","Vigo","Thousand persons","Employed persons","Total - all NACE activities","378",""
"2011","Vigo","Thousand persons","Employed persons","Total - all NACE activities","363.2",""
"2012","Vigo","Thousand persons","Employed persons","Total - all NACE activities","346.8",""
"2013","Vigo","Thousand persons","Employed persons","Total - all NACE activities","338.7",""
"2014","Vigo","Thousand persons","Employed persons","Total - all NACE activities","340",""
"2015","Vigo","Thousand persons","Employed persons","Total - all NACE activities","351.9",""
"2016","Vigo","Thousand persons","Employed persons","Total - all NACE activities","358.5",""
"2017","Vigo","Thousand persons","Employed persons","Total - all NACE activities","363.2",""
"2018","Vigo","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","279.5",""
"2001","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","292.6",""
"2002","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","303",""
"2003","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","311.3",""
"2004","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","323.7",""
"2005","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","342.3",""
"2006","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","357.7",""
"2007","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","371.3",""
"2008","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","358.1",""
"2009","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","328.2",""
"2010","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","332.6",""
"2011","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","324.9",""
"2012","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","312.3",""
"2013","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","305.9",""
"2014","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","311.4",""
"2015","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","327",""
"2016","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","334.1",""
"2017","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities","348.8",""
"2018","Santa Cruz de Tenerife","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","A Coruña","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","383.1",""
"2001","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","405.7",""
"2002","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","419.7",""
"2003","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","436.9",""
"2004","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","446.4",""
"2005","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","459.3",""
"2006","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","482.4",""
"2007","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","499.8",""
"2008","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","501.9",""
"2009","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","475.6",""
"2010","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","473.9",""
"2011","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","463.1",""
"2012","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","444.8",""
"2013","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","436.2",""
"2014","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","434.6",""
"2015","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","442.1",""
"2016","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","446.7",""
"2017","A Coruña","Thousand persons","Employed persons","Total - all NACE activities","451.4",""
"2018","A Coruña","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Granada","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Granada","Thousand persons","Employed persons","Total - all NACE activities","247.7",""
"2001","Granada","Thousand persons","Employed persons","Total - all NACE activities","256",""
"2002","Granada","Thousand persons","Employed persons","Total - all NACE activities","270.9",""
"2003","Granada","Thousand persons","Employed persons","Total - all NACE activities","285.9",""
"2004","Granada","Thousand persons","Employed persons","Total - all NACE activities","294",""
"2005","Granada","Thousand persons","Employed persons","Total - all NACE activities","308.3",""
"2006","Granada","Thousand persons","Employed persons","Total - all NACE activities","331.3",""
"2007","Granada","Thousand persons","Employed persons","Total - all NACE activities","342.5",""
"2008","Granada","Thousand persons","Employed persons","Total - all NACE activities","340",""
"2009","Granada","Thousand persons","Employed persons","Total - all NACE activities","313.7",""
"2010","Granada","Thousand persons","Employed persons","Total - all NACE activities","307.9",""
"2011","Granada","Thousand persons","Employed persons","Total - all NACE activities","303.1",""
"2012","Granada","Thousand persons","Employed persons","Total - all NACE activities","291.8",""
"2013","Granada","Thousand persons","Employed persons","Total - all NACE activities","291.5",""
"2014","Granada","Thousand persons","Employed persons","Total - all NACE activities","299.3",""
"2015","Granada","Thousand persons","Employed persons","Total - all NACE activities","306.7",""
"2016","Granada","Thousand persons","Employed persons","Total - all NACE activities","313",""
"2017","Granada","Thousand persons","Employed persons","Total - all NACE activities","322.5",""
"2018","Granada","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","316.1",""
"2001","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","333.2",""
"2002","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","331.8",""
"2003","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","334.6",""
"2004","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","340.4",""
"2005","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","353.3",""
"2006","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","368",""
"2007","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","376.6",""
"2008","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","369.8",""
"2009","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","349.1",""
"2010","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","345.6",""
"2011","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","334.3",""
"2012","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","324.7",""
"2013","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","314.2",""
"2014","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","315.7",""
"2015","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","324.8",""
"2016","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","336.2",""
"2017","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities","344.8",""
"2018","Guipúzcoa","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Cádiz","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","366.5",""
"2001","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","375.6",""
"2002","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","372.7",""
"2003","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","379.2",""
"2004","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","392.6",""
"2005","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","415",""
"2006","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","440",""
"2007","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","449.2",""
"2008","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","439.2",""
"2009","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","408.9",""
"2010","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","400.4",""
"2011","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","396.2",""
"2012","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","377.9",""
"2013","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","361",""
"2014","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","357.5",""
"2015","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","360.8",""
"2016","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","370.2",""
"2017","Cádiz","Thousand persons","Employed persons","Total - all NACE activities","377.3",""
"2018","Cádiz","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,023.2",""
"2001","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,135.3",""
"2002","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,255.7",""
"2003","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,370.4",""
"2004","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,500.7",""
"2005","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,699.1",""
"2006","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,865",""
"2007","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","5,005.6",""
"2008","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,998.4",""
"2009","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,673.3",""
"2010","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,591.7",""
"2011","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,456.7",""
"2012","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,262.8",""
"2013","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,143.2",""
"2014","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,173.3",""
"2015","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,271.8",""
"2016","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,356",""
"2017","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities","4,457.7",""
"2018","Non-metropolitan regions in Spain","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2001","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2002","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2003","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2004","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2005","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2006","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2007","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2008","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2009","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2010","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2011","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2012","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2013","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2014","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2015","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2016","France","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2017","France","Thousand persons","Employed persons","Total - all NACE activities","27,926","d"
"2018","France","Thousand persons","Employed persons","Total - all NACE activities","28,148","d"
"1999","Croatia","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,565.02",""
"2001","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,554.9",""
"2002","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,568.41",""
"2003","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,607.39",""
"2004","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,620.94",""
"2005","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,637.55",""
"2006","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,689.26",""
"2007","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,742.68",""
"2008","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,779.9",""
"2009","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,766.55",""
"2010","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,699.98",""
"2011","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,634.51",""
"2012","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,575.51",""
"2013","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,534",""
"2014","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,574.99",""
"2015","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,594.59",""
"2016","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,599.21",""
"2017","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,634.41",""
"2018","Croatia","Thousand persons","Employed persons","Total - all NACE activities","1,664.37",""
"1999","Zagreb","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","516.66",""
"2001","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","515.65",""
"2002","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","520.82",""
"2003","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","535.02",""
"2004","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","542.64",""
"2005","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","548.53",""
"2006","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","569.04",""
"2007","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","590.53",""
"2008","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","606.09",""
"2009","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","600.67",""
"2010","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","579.67",""
"2011","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","551.71",""
"2012","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","543.18",""
"2013","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","536.88",""
"2014","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","556.47",""
"2015","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","565.55",""
"2016","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","578.81",""
"2017","Zagreb","Thousand persons","Employed persons","Total - all NACE activities","592.96",""
"2018","Zagreb","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Split","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Split","Thousand persons","Employed persons","Total - all NACE activities","142.03",""
