"TIME","METROREG","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2010","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,184.9",""
"2011","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,213.5",""
"2012","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,224.1",""
"2013","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,216.3",""
"2014","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,225.9",""
"2015","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,248.7",""
"2016","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,280.7",""
"2017","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,318.3",""
"2018","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,353.6",""
"1999","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,239.2",""
"2001","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,214.74",""
"2002","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,222.12",""
"2003","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,317.39",""
"2004","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,403.4",""
"2005","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,495.27",""
"2006","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,612.04",""
"2007","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,726.74",""
"2008","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,814.65",""
"2009","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,749.3",""
"2010","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,603.89",""
"2011","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,524.55",""
"2012","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,436.39","p"
"2013","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,421.58","p"
"2014","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,434.18","p"
"2015","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,446.21","p"
"2016","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,463.35","p"
"2017","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,525.35","p"
"2018","Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","3,521.64","p"
"1999","Sofia","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Sofia","Thousand persons","Employed persons","Total - all NACE activities","757.87",""
"2001","Sofia","Thousand persons","Employed persons","Total - all NACE activities","791.88",""
"2002","Sofia","Thousand persons","Employed persons","Total - all NACE activities","796.61",""
"2003","Sofia","Thousand persons","Employed persons","Total - all NACE activities","795.64",""
"2004","Sofia","Thousand persons","Employed persons","Total - all NACE activities","802.33",""
"2005","Sofia","Thousand persons","Employed persons","Total - all NACE activities","881.23",""
"2006","Sofia","Thousand persons","Employed persons","Total - all NACE activities","956.91",""
"2007","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,013.55",""
"2008","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,072.04",""
"2009","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,069.74",""
"2010","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,055.49",""
"2011","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,041.46",""
"2012","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,006","p"
"2013","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,005","p"
"2014","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,018","p"
"2015","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,025","p"
"2016","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,055","p"
"2017","Sofia","Thousand persons","Employed persons","Total - all NACE activities","1,084","p"
"2018","Sofia","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities",":",""
